system,module_count,condition,endpoint,boot_time_ms_avg,boot_time_ms_p95,total_time_ms_avg,total_time_ms_p95,peak_memory_mb_avg,samples
internachi,25,opcache-off,bare,440.479,503.191,442.12,504.656,44.06,50
internachi,25,opcache-off,data,416.821,460.544,460.946,510.994,46.18,50
internachi,25,opcache-on,bare,160.911,179.754,161.181,180.048,4,50
internachi,25,opcache-on,data,155.907,163.034,183.154,204.243,4,50
internachi,25,module-cache,bare,94.483,106.353,94.75,106.65,4,50
internachi,25,module-cache,data,91.744,100.086,114.168,130,4,50
internachi,25,opcache-off,bare,498.222,534.25,499.689,535.616,44.5,50
internachi,25,opcache-off,data,497.63,558.79,544.281,603.878,46.18,50
internachi,25,opcache-on,bare,249.137,338.53,249.413,338.909,4,50
internachi,25,opcache-on,data,241.713,286.757,275.416,333.277,5.68,50
internachi,50,opcache-off,bare,493.453,553.153,494.89,554.499,44.5,50
internachi,50,opcache-off,data,512.958,631.825,560.546,700.997,46.18,50
internachi,50,opcache-on,bare,233.522,266.092,233.786,266.393,4,50
internachi,50,opcache-on,data,236.689,283.268,268.635,315.933,5.68,50
internachi,75,opcache-off,bare,616.494,748.836,617.981,750.525,44.5,50
internachi,75,opcache-off,data,596.635,666.7,646.54,719.151,48.02,50
internachi,75,opcache-on,bare,330.755,351.729,331.029,352.03,6,50
internachi,75,opcache-on,data,386.912,607.053,431.727,693.28,6,50
internachi,100,opcache-off,bare,713.183,918.44,713.538,918.801,6,72
internachi,100,opcache-off,data,681.767,914.37,754.798,1017.986,6,74
internachi,75,opcache-on,bare,729.85,1016.322,763.314,1096.211,6,27
internachi,75,opcache-on,data,593.213,730.384,620.61,769.965,6.2,10
internachi,100,opcache-on,bare,413.543,452.043,413.838,452.334,6,50
internachi,100,opcache-on,data,402.785,412.966,441.358,451.078,6,50
internachi,125,opcache-off,bare,1579.695,1691.286,1582.529,1693.601,46.5,4
internachi,125,opcache-off,data,1482.402,1633.109,1531.349,1702.582,47.407,97
internachi,100,opcache-off,bare,1481.541,1633.109,1530.004,1702.582,47.418,98
internachi,100,opcache-off,data,939.981,1244.553,974.442,1280.107,6,78
internachi,125,opcache-on,bare,1197.006,1613.819,1197.352,1614.155,6.5,4
internachi,125,opcache-on,data,871.585,1032.351,909.066,1095.268,6,96
internachi,100,opcache-on,bare,870.18,1032.351,906.903,1095.268,6,98
internachi,100,opcache-on,data,1495.35,2003.82,1592.407,2206.293,7.2,50
internachi,150,opcache-off,bare,1881.661,2023.44,1885.132,2026.055,47.583,24
internachi,150,opcache-off,data,1873.473,2158.503,1965.583,2245.853,49.907,27
internachi,125,opcache-off,bare,1968.997,2311.822,2030.392,2352.338,48.5,74
internachi,125,opcache-off,data,944.078,1169.485,979.82,1182.903,6,50
internachi,150,opcache-on,bare,1015.577,1094.982,1015.86,1095.259,6,24
internachi,150,opcache-on,data,1071.821,1196.491,1156.511,1284.499,7.462,26
internachi,125,opcache-on,bare,1034.813,1142.039,1072.404,1187.22,6,75
internachi,125,opcache-on,data,1440.924,2038.346,1530.172,2121.275,7.778,63
internachi,175,opcache-off,bare,1987.019,2183.43,1990.358,2186.083,48.5,42
internachi,175,opcache-off,data,2052.987,2239.425,2161.734,2438.108,50.144,45
internachi,150,opcache-off,bare,2035.735,2287.018,2091.716,2392.277,48.5,56
internachi,150,opcache-off,data,1149.633,1395.99,1189.855,1396.431,8,34
internachi,175,opcache-on,bare,1291.97,1847.06,1292.341,1848.328,8,44
internachi,175,opcache-on,data,1224.892,1405.437,1320.513,1491.798,8,47
internachi,150,opcache-on,bare,1197.541,1493.814,1238.001,1579.167,8,54
internachi,150,opcache-on,data,1479.772,2265.849,1576.186,2364.276,8,74
internachi,200,opcache-off,bare,2438.814,2748.067,2441.558,2751.125,49.686,59
internachi,200,opcache-off,data,2353.527,2596.039,2478.699,2704.032,52.238,61
internachi,175,opcache-off,bare,2391.261,2751.553,2455.572,2919.886,50.5,40
internachi,175,opcache-off,data,1543.768,1707.234,1594.074,1855.168,8,19
internachi,200,opcache-on,bare,1443.009,1572.258,1443.353,1572.67,8,60
internachi,200,opcache-on,data,1633.148,2177.192,1750.074,2367.41,8,60
internachi,175,opcache-on,bare,1500.42,1765.436,1545.166,1843.327,8,40
internachi,175,opcache-on,data,694.227,845.396,709.127,871.941,8,17
internachi,200,module-cache,bare,976.203,1806.107,981.617,1806.494,8,59
internachi,200,module-cache,data,2678.839,2887.733,2768.484,2947.373,48.971,17
internachi,200,opcache-off,bare,1943.517,2738.472,1970.549,2879.948,50.059,59
internachi,200,opcache-off,data,1374.926,1650.207,1450.787,1742.045,52.02,50
internachi,200,opcache-on,bare,3194.565,4389.371,3194.914,4389.976,8,50
internachi,200,opcache-on,data,1049.934,1312.825,1120.061,1436.916,8,50
internachi,200,module-cache,bare,620.662,708.184,620.958,708.47,8,50
internachi,200,module-cache,data,603.66,626.24,625.875,663.476,8,50
internachi,200,opcache-on,bare,987.507,1143.032,987.89,1143.318,8,50
internachi,200,opcache-on,data,1032.801,1144.423,1096.973,1214.795,8,50
