system,module_count,condition,endpoint,boot_time_ms_avg,boot_time_ms_p95,total_time_ms_avg,total_time_ms_p95,peak_memory_mb_avg,samples
nwidart,25,opcache-off,bare,446.666,497.23,448.146,498.698,54.5,50
nwidart,25,opcache-off,data,440.096,487.649,479.802,526.572,54.5,50
nwidart,25,opcache-on,bare,193.357,229.177,193.656,229.447,14.04,50
nwidart,25,opcache-on,data,186.093,192.466,213.183,224.088,16,50
nwidart,50,opcache-off,bare,574.733,639.391,576.207,641.327,54.5,50
nwidart,50,opcache-off,data,654.323,1088.111,701.912,1161.321,54.5,50
nwidart,50,opcache-on,bare,331.459,481.147,331.758,481.529,16,50
nwidart,50,opcache-on,data,313.574,396.717,345.442,425.497,16,50
nwidart,75,opcache-off,bare,736.529,829.518,738.039,830.997,56.5,50
nwidart,75,opcache-off,data,799.238,1135.867,853.491,1199.797,56.5,50
nwidart,75,opcache-on,bare,433.087,469.776,433.905,470.06,16,50
nwidart,75,opcache-on,data,427.316,483.393,461.812,551.943,16,50
nwidart,100,opcache-off,bare,960.05,1046.815,961.681,1048.389,58.5,50
nwidart,100,opcache-off,data,942.215,1048.579,993.28,1107.049,58.5,50
nwidart,100,opcache-on,bare,579.232,632.241,579.512,632.515,18,50
nwidart,100,opcache-on,data,599.557,675.477,638.839,710.31,18,50
nwidart,125,opcache-off,bare,1136.178,1284.817,1137.714,1286.536,58.5,50
nwidart,125,opcache-off,data,1123.021,1183.001,1178.281,1251.631,58.5,50
nwidart,125,opcache-on,bare,767.75,823.409,768.044,823.723,18,50
nwidart,125,opcache-on,data,779.861,833.241,821.028,874.178,18,50
nwidart,150,opcache-off,bare,1431.451,1751.175,1433.046,1753.121,60.5,50
nwidart,150,opcache-off,data,1341.673,1483.873,1398.111,1541.139,60.5,50
nwidart,150,opcache-on,bare,1191.831,1357.748,1192.267,1358.393,18,50
nwidart,150,opcache-on,data,1257.388,1380.816,1312.018,1430.829,18,50
nwidart,175,opcache-off,bare,1725.202,2331.11,1726.742,2332.846,62.5,50
nwidart,175,opcache-off,data,1581.848,1630.05,1640.298,1688.738,62.5,50
nwidart,175,opcache-on,bare,1215.218,1296.65,1215.498,1296.982,20,50
nwidart,175,opcache-on,data,1214.788,1274.428,1259.693,1317.746,20,50
nwidart,200,opcache-off,bare,2283.435,2831.39,2285.663,2833.85,62.5,50
nwidart,200,opcache-off,data,2203.655,2509.069,2286.41,2589.735,62.5,50
nwidart,200,opcache-on,bare,1520.827,1678.569,1521.13,1678.891,20,50
nwidart,200,opcache-on,data,1524.959,1663.705,1577.314,1728.983,20,50
