system,label,module_count,workers_spec,workers,container_memory_mb,per_worker_mb,bare_req_per_sec,bare_lat_avg_ms,bare_lat_p99_ms,bare_errors,data_req_per_sec,data_lat_avg_ms,data_lat_p99_ms,data_errors
internachi,e1_max1g,0,max:1024,142,64.6,0.5,84.44,1120.0,1980.0,0,66.55,1420.0,2480.0,0
internachi,e1_max2g,0,max:2048,256,106.8,0.4,46.98,2010.0,3620.0,0,42.76,2200.0,4990.0,11
internachi,e1_max1g,25,max:1024,142,64.0,0.5,62.43,1510.0,2670.0,0,50.51,1860.0,3380.0,0
internachi,e1_max2g,25,max:2048,256,107.9,0.4,60.24,1570.0,2930.0,0,44.41,2120.0,4170.0,0
internachi,e1_max1g,50,max:1024,136,60.9,0.4,41.03,2320.0,4140.0,0,53.83,1760.0,2950.0,0
internachi,e1_max2g,50,max:2048,256,107.9,0.4,56.15,1680.0,2950.0,0,42.74,2060.0,3890.0,30
internachi,e1_max1g,100,max:1024,134,61.4,0.5,40.3,2320.0,3830.0,0,37.14,2530.0,4340.0,0
internachi,e1_max2g,100,max:2048,256,107.0,0.4,35.54,2550.0,4560.0,70,31.38,2980.0,5120.0,0
internachi,e2_w8,50,8,8,15.5,1.9,36.67,2560.0,2890.0,0,33.74,2760.0,3220.0,0
internachi,e2_w16,50,16,16,18.6,1.2,43.44,2160.0,2590.0,0,37.02,2530.0,3780.0,0
internachi,e2_w32,50,32,32,24.2,0.8,42.7,2200.0,2880.0,0,39.75,2360.0,2960.0,0
internachi,e2_w64,50,64,64,35.2,0.6,42.85,2200.0,3030.0,0,39.23,2390.0,3330.0,0
internachi,e2_max1g,50,max:1024,134,61.4,0.5,37.87,2480.0,4270.0,97,35.12,2670.0,5120.0,0
