system,label,module_count,workers_spec,workers,container_memory_mb,per_worker_mb,bare_req_per_sec,bare_lat_avg_ms,bare_lat_p99_ms,bare_errors,data_req_per_sec,data_lat_avg_ms,data_lat_p99_ms,data_errors
nwidart,e1_max1g,0,max:1024,142,62.3,0.4,82.04,1160.0,2130.0,0,57.89,1320.0,2350.0,58
nwidart,e1_max2g,0,max:2048,256,106.6,0.4,80.34,1180.0,2040.0,0,65.83,1440.0,2530.0,0
nwidart,e1_max1g,25,max:1024,129,59.2,0.5,47.99,1970.0,4400.0,40,48.25,1960.0,2940.0,0
nwidart,e1_max2g,25,max:2048,256,104.7,0.4,52.82,1780.0,2990.0,0,43.62,2110.0,3960.0,63
nwidart,e1_max1g,50,max:1024,129,58.8,0.5,34.49,2720.0,3650.0,0,26.92,3470.0,5830.0,0
nwidart,e1_max2g,50,max:2048,256,107.9,0.4,32.82,2850.0,4100.0,0,27.99,3340.0,4900.0,0
nwidart,e1_max1g,100,max:1024,126,57.7,0.5,24.75,3750.0,5060.0,138,23.09,4020.0,5190.0,0
nwidart,e1_max2g,100,max:2048,252,103.4,0.4,16.2,5600.0,8060.0,0,19.2,4660.0,7400.0,96
nwidart,e2_w8,50,8,8,15.4,1.9,30.11,3100.0,3700.0,0,23.18,4000.0,5020.0,0
nwidart,e2_w16,50,16,16,18.2,1.1,32.03,2900.0,3380.0,0,27.87,3340.0,3900.0,0
nwidart,e2_w32,50,32,32,24.0,0.8,1.86,2850.0,4390.0,628,0.3,3670.0,6910.0,1438
nwidart,e2_w64,50,64,64,35.9,0.6,0.99,4190.0,9100.0,759,0.41,3960.0,6850.0,839
nwidart,e2_max1g,50,max:1024,126,57.8,0.5,1.16,5550.0,9310.0,389,23.03,4040.0,5170.0,0
